Timestamp,Signal_Name,Bit_Len,Bit_Name1,Bit_Name2,Bit_Name3,Bit_Name4,Bit_Name5,Bit_Name6,Bit_Name7,Bit_Name8
0.002165,CAN_S1,8,10,0A,00,00,08,00,00,00
0.002474,CAN_S2,8,00,00,00,00,00,00,00,00
0.002768,CAN_S3,8,00,00,88,FF,29,44,00,00
0.003534,CAN_S4,8,00,00,00,00,F0,03,00,00
0.003766,CAN_S5,8,87,DB,9F,78,FD,F5,37,1E
0.004006,CAN_S6,8,AA,E6,3F,00,00,00,00,00
0.004255,CAN_S7,8,00,00,00,00,00,00,00,00
0.005173,CAN_S8,8,38,E9,3F,80,00,00,00,00
0.005411,CAN_S9,8,9B,79,7F,00,82,00,40,00
0.005645,CAN_S10,8,A3,89,65,00,00,00,C3,00
0.00862,CAN_S11,4,02,00,40,00,Length,=,165988,BitCount
0.009536,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.00984,CAN_S13,8,00,00,00,00,FF,00,00,00
0.010126,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.010433,CAN_S15,8,00,00,00,00,00,00,00,00
0.010739,CAN_S16,8,00,00,00,00,00,00,00,00
0.011017,CAN_S17,8,2B,EA,7B,4C,F5,E4,28,00
0.011311,CAN_S18,8,03,C0,58,00,00,00,00,00
0.0116,CAN_S19,8,03,00,00,00,00,DD,93,F4
0.011856,CAN_S20,8,00,00,00,00,00,00,00,00
0.01215,CAN_S21,8,62,C1,4C,65,00,00,00,00
0.012438,CAN_S22,8,80,08,30,03,38,05,FF,FF
0.012739,CAN_S23,8,20,0E,00,00,00,00,00,00
0.013387,CAN_S5,8,38,DC,9F,78,FD,F5,37,1E
0.013637,CAN_S24,8,00,00,FE,00,00,00,00,00
0.013887,CAN_S25,8,00,00,00,00,00,00,00,FF
0.014128,CAN_S26,8,35,E7,BF,FF,00,14,00,00
0.015148,CAN_S27,8,87,07,00,00,00,00,00,7E
0.017116,CAN_S28,8,68,8E,FA,1E,23,3D,39,0A
0.017876,CAN_S29,8,87,04,00,44,40,02,00,00
0.018889,CAN_S30,8,2E,0F,00,00,30,8C,7E,FE
0.019129,CAN_S31,8,FA,38,1E,00,01,02,80,F0
0.019373,CAN_S32,8,BE,09,80,12,00,00,00,00
0.019657,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.019899,CAN_S33,8,00,3F,2B,00,00,24,00,07
0.020198,CAN_S13,8,00,00,00,00,FF,00,00,00
0.020484,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.020784,CAN_S15,8,00,00,00,00,00,00,00,00
0.021084,CAN_S16,8,00,00,00,00,00,00,00,00
0.021635,CAN_S34,8,00,00,00,00,00,00,00,00
0.023343,CAN_S5,8,C8,DD,9F,78,FD,F5,37,1E
0.023591,CAN_S4,8,00,00,00,00,F0,03,00,00
0.024041,CAN_S7,8,00,00,00,00,00,00,00,00
0.025178,CAN_S8,8,74,EA,3F,80,00,00,00,00
0.025418,CAN_S9,8,37,7A,7F,00,82,00,40,00
0.02566,CAN_S10,8,0F,8A,65,00,00,00,C3,00
0.029033,CAN_S35,8,85,09,2E,00,00,00,00,00
0.029279,CAN_S36,8,34,1C,00,00,01,00,00,00
0.029563,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.029803,CAN_S37,8,D3,28,00,FF,12,00,00,00
0.030102,CAN_S13,8,00,00,00,00,FF,00,00,00
0.030388,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.030688,CAN_S15,8,00,00,00,00,00,00,00,00
0.030924,CAN_S38,8,14,0B,40,02,FE,7F,7F,0C
0.031219,CAN_S16,8,00,00,00,00,00,00,00,00
0.031455,CAN_S22,5,C0,00,00,00,00,Length,=,221973
0.031709,CAN_S39,8,00,00,00,C1,80,00,00,00
0.033335,CAN_S40,8,D6,8E,09,00,00,00,00,00
0.033563,CAN_S5,8,43,DE,9F,78,FD,F5,37,1E
0.033814,CAN_S24,8,00,00,FE,00,00,00,00,00
0.034062,CAN_S41,8,80,00,00,00,01,05,01,0E
0.034296,CAN_S42,8,E0,26,E3,01,4A,C2,0C,40
0.03536,CAN_S43,8,14,00,00,00,00,00,00,00
0.036977,CAN_S44,8,00,00,38,00,00,01,00,00
0.038823,CAN_S30,8,E0,00,00,00,30,8C,7E,FE
0.039353,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.039685,CAN_S13,8,00,00,00,00,FF,00,00,00
0.039972,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.040272,CAN_S15,8,00,00,00,00,00,00,00,00
0.040572,CAN_S16,8,00,00,00,00,00,00,00,00
0.04082,CAN_S45,8,00,00,00,28,00,00,00,00
0.041109,CAN_S46,8,0E,00,04,01,02,08,00,00
0.041649,CAN_S47,8,00,00,00,78,80,00,00,00
0.043461,CAN_S5,8,9D,DF,9F,78,FD,F5,37,1E
0.043811,CAN_S4,8,00,00,00,00,F0,03,00,00
0.044084,CAN_S7,8,00,00,00,00,00,00,00,00
0.044334,CAN_S48,8,01,7F,00,00,00,00,00,00
0.045202,CAN_S8,8,5B,EB,3F,80,00,00,00,00
0.045442,CAN_S9,8,53,7B,7F,00,82,00,40,00
0.045681,CAN_S10,8,9F,8B,64,00,00,00,C3,00
0.045927,CAN_S49,8,00,FE,00,00,0C,00,20,00
0.046187,CAN_S50,8,FF,FC,FF,FF,00,00,00,00
0.046447,CAN_S51,8,FF,FF,00,06,00,00,00,00
0.046705,CAN_S52,8,0C,00,00,36,F8,FE,FB,FF
0.046958,CAN_S53,8,00,00,FE,36,DB,0C,80,FF
0.047262,CAN_S54,8,20,46,00,00,3E,FE,00,80
0.047572,CAN_S55,8,00,00,00,00,00,00,00,00
0.047826,CAN_S56,8,9A,09,9A,05,02,00,9A,21
0.049138,CAN_S32,8,AE,0A,80,12,00,00,00,00
0.049423,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.049727,CAN_S13,8,00,00,00,00,FF,00,00,00
0.050021,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.050321,CAN_S15,8,00,00,00,00,00,00,00,00
0.050622,CAN_S16,8,00,00,00,00,00,00,00,00
0.05138,CAN_S57,error,active,,,,,,,
0.051608,CAN_S58,8,C5,08,00,02,04,00,00,00
0.052192,CAN_S1,8,10,0B,00,00,08,00,00,00
0.052442,CAN_S59,8,00,00,B2,01,00,00,00,00
0.052766,CAN_S60,8,20,14,00,00,00,00,00,80
0.053503,CAN_S5,8,54,D0,9F,78,FD,F5,37,1E
0.053753,CAN_S24,8,00,00,FE,00,00,00,00,00
0.054065,CAN_S61,8,00,68,00,3E,00,9D,00,00
0.054307,CAN_S6,8,AC,E7,3F,00,00,00,00,00
0.058838,CAN_S30,8,8C,01,00,00,30,8C,7E,FE
0.059352,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.059656,CAN_S13,8,00,00,00,00,FF,00,00,00
0.059943,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.060181,CAN_S62,8,00,00,54,20,00,50,51,58
0.060475,CAN_S15,8,00,00,00,00,00,00,00,00
0.060775,CAN_S16,8,00,00,00,00,00,00,00,00
0.061295,CAN_S63,8,00,00,00,00,00,00,00,00
0.06166,CAN_S64,8,08,00,00,00,00,00,00,00
0.062262,CAN_S65,8,00,00,00,00,00,00,00,00
0.063366,CAN_S5,8,DC,D1,9F,78,FD,F5,37,1E
0.063614,CAN_S4,8,00,00,00,00,F0,03,00,00
0.064047,CAN_S7,8,00,00,00,00,00,00,00,00
0.064287,CAN_S26,8,2F,EC,BF,FF,00,14,00,00
0.065183,CAN_S8,8,C2,EC,3F,80,00,00,00,00
0.065427,CAN_S9,8,40,7C,7F,00,82,00,40,00
0.065664,CAN_S10,8,8C,8C,64,00,00,00,C3,00
0.066864,CAN_S27,8,85,08,00,00,00,00,00,7E
0.067888,CAN_S29,8,E3,05,00,44,40,02,00,00
0.069038,CAN_S66,8,FE,6F,00,FE,FE,F7,07,00
0.069353,CAN_S12,8,6B,4F,00,82,01,03,00,00
